id_vintage_id,wine_id,name,country,region,wynnery,wine_color,grappe
133902208,4281963,Salentein Gran VU Blend 2015,Argentine,Uco Valley,Salentein,Vin rouge,Assemblage
133317107,16529,Domaine Jacques Prieur Musigny Grand Cru 2015,France,Musigny Grand Cru,Domaine Jacques Prieur,Vin rouge,Pinot Noir
131862469,81836,Casanova di Neri Cerretalto Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Casanova di Neri,Vin rouge,Sangiovese
131677762,3269198,J. Hofstätter Roccolo Ludwig Barth von Barthenau 2015,Italie,Südtirol - Alto Adige,J. Hofstätter,Vin rouge,Pinot Nero
130730391,1171278,Il Marroneto Madonna delle Grazie Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Il Marroneto,Vin rouge,Sangiovese
128506526,9710,Casanova di Neri Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Casanova di Neri,Vin rouge,Sangiovese
127738293,3958398,Quintodecimo Vigna Grande Cerzito Taurasi Riserva 2014,Italie,Taurasi,Quintodecimo,Vin rouge,Aglianico
127578652,1468452,Gitana Lupi Rezerva 2016,Moldavie,Moldavie,Gitana,Vin rouge,Assemblage
127064316,82203,Giacomo Conterno Barolo Cascina Francia 2016,Italie,Barolo,Giacomo Conterno,Vin rouge,Nebbiolo
122085290,2112660,San Filippo Le Lucére Brunello di Montalcino Riserva 2016,Italie,Brunello di Montalcino,San Filippo,Vin rouge,Sangiovese
118038317,779523,Uccelliera Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Uccelliera,Vin rouge,Sangiovese
116393284,84068,Quintarelli Giuseppe Veneto Rosso del Bepi 2016,Italie,Vénétie,Quintarelli Giuseppe,Vin rouge,Corvina
114612341,1386095,Cardinale Red 2016,États-Unis,Napa Valley,Cardinale,Vin rouge,Cabernet Sauvignon
114125129,1216025,Canalicchio di Sopra Brunello di Montalcino Riserva 2016,Italie,Brunello di Montalcino,Canalicchio di Sopra,Vin rouge,Sangiovese
113908564,1274818,Mascarello Giuseppe e Figlio Barolo Monprivato 2016,Italie,Barolo,Mascarello Giuseppe e Figlio,Vin rouge,Nebbiolo
113703513,94816,Castello del Terriccio Lupicaia 2016,Italie,Toscane,Castello del Terriccio,Vin rouge,Assemblage
113230187,98835,Bodega Contador (Benjamín Romeo) La Cueva del Contador Rioja 2016,Espagne,Rioja,Bodega Contador (Benjamín Romeo),Vin rouge,Tempranillo
110856643,1165708,Gaja Pieve Santa Restituta Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Gaja,Vin rouge,Sangiovese
109453129,2160538,Prunotto Vigna Colonnello Barolo Riserva Bussia 2014,Italie,Barolo,Prunotto,Vin rouge,Nebbiolo
108965473,1152417,Château Ausone Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2016,France,Saint-Émilion Grand Cru,Château Ausone,Vin rouge,Assemblage
104526081,1194144,Conti Costanti Brunello di Montalcino Riserva 2015,Italie,Brunello di Montalcino,Conti Costanti,Vin rouge,Sangiovese
